config_name,pdf_name,chunk_size,chunk_overlap,retrieval_k,embedding_model,chunk_count,avg_chunk_chars,top1_accuracy,hit_rate_at_k,mrr,avg_relevant_count
chunk_size_1500,attention_is_all_you_need.pdf,1500,200,3,text-embedding-3-small,38,1135.9473684210527,0.8333333333333334,1.0,0.888888888888889,2.1666666666666665
baseline,attention_is_all_you_need.pdf,1000,200,3,text-embedding-3-small,52,873.2307692307693,0.8333333333333334,0.8333333333333334,0.8333333333333334,2.1666666666666665
retrieval_k_5,attention_is_all_you_need.pdf,1000,200,5,text-embedding-3-small,52,873.2307692307693,0.8333333333333334,0.8333333333333334,0.8333333333333334,3.3333333333333335
embedding_large,attention_is_all_you_need.pdf,1000,200,3,text-embedding-3-large,52,873.2307692307693,0.8333333333333334,0.8333333333333334,0.8333333333333334,2.3333333333333335
chunk_overlap_50,attention_is_all_you_need.pdf,1000,50,3,text-embedding-3-small,48,828.4375,0.6666666666666666,0.8333333333333334,0.7222222222222222,2.1666666666666665
chunk_size_500,attention_is_all_you_need.pdf,500,200,3,text-embedding-3-small,131,439.6641221374046,0.5,0.8333333333333334,0.6388888888888888,1.8333333333333333
