config_name,pipeline,chunk_size,chunk_overlap,retrieval_k,embedding_model,chunk_count,avg_chunk_chars,ragas_faithfulness,ragas_answer_relevancy,ragas_context_precision,ragas_context_recall
baseline_two_step,two_step,1000,200,3,text-embedding-3-small,63,718.4444444444445,0.9857142857142858,0.9830169683662727,0.6428571428190476,0.9285714285714286
baseline_agentic,agentic,1000,200,3,text-embedding-3-small,63,718.4444444444445,0.9901960784313726,0.8747060468469471,0.6428571428190476,1.0
chunk_size_500,two_step,500,200,3,text-embedding-3-small,146,354.3767123287671,0.9761904761904763,0.969548261928132,0.8333333332821429,0.6428571428571429
chunk_size_1500,two_step,1500,200,3,text-embedding-3-small,42,1058.9285714285713,0.916883116883117,0.9647139643863254,0.9523809523238096,1.0
retrieval_k_5,two_step,1000,200,5,text-embedding-3-small,63,718.4444444444445,1.0,0.978112895511168,0.6309523809201588,0.8571428571428571
