config_name,pipeline,chunk_size,chunk_overlap,retrieval_k,embedding_model,chunk_count,avg_chunk_chars,top1_accuracy,hit_rate_at_k,mrr,avg_relevant_count,answer_hit_rate,avg_answer_keyword_coverage
chunk_size_1500,two_step,1500,200,3,text-embedding-3-small,42,1058.9285714285713,0.5714285714285714,0.8571428571428571,0.7142857142857143,1.1428571428571428,0.5714285714285714,0.619047619047619
baseline_two_step,two_step,1000,200,3,text-embedding-3-small,63,718.4444444444445,0.5714285714285714,0.8571428571428571,0.6904761904761906,1.2857142857142858,0.5714285714285714,0.619047619047619
baseline_agentic,agentic,1000,200,3,text-embedding-3-small,63,718.4444444444445,0.5714285714285714,0.8571428571428571,0.6904761904761906,1.2857142857142858,0.5714285714285714,0.6666666666666666
chunk_overlap_50,two_step,1000,50,3,text-embedding-3-small,61,708.016393442623,0.5714285714285714,0.8571428571428571,0.6904761904761906,1.1428571428571428,0.5714285714285714,0.6666666666666666
retrieval_k_5,two_step,1000,200,5,text-embedding-3-small,63,718.4444444444445,0.5714285714285714,0.8571428571428571,0.6904761904761906,1.5714285714285714,0.7142857142857143,0.7142857142857142
embedding_large,two_step,1000,200,3,text-embedding-3-large,63,718.4444444444445,0.5714285714285714,0.8571428571428571,0.6904761904761906,1.0,0.5714285714285714,0.6666666666666666
chunk_size_500,two_step,500,200,3,text-embedding-3-small,146,354.3767123287671,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,0.5714285714285714,0.6666666666666666
